n,time,set,threshold,algo
1000,1224,12,1,0
1000,1318,17,1,0
5000,4873,13,1,0
1000,375,8,1,0
50000,60278,11,1,0
500000,425295,15,1,0
100000,81018,8,1,0
50000,24535,2,1,0
50000,43115,16,1,0
5000,4642,27,1,0
100000,74666,12,1,0
100000,139973,25,1,0
500000,658103,27,1,0
500000,676408,26,1,0
500000,298979,7,1,0
50000,37063,6,1,0
10000,15760,17,1,0
50000,76263,17,1,0
10000,20205,11,1,0
5000,4554,17,1,0
500000,609134,14,1,0
5000,4404,4,1,0
10000,4414,7,1,0
1000,640,21,1,0
5000,3907,29,1,0
500000,296741,3,1,0
100000,116664,22,1,0
50000,51629,19,1,0
1000,301,2,1,0
50000,68618,22,1,0
5000,4310,8,1,0
1000,879,11,1,0
10000,5070,5,1,0
1000,795,14,1,0
10000,7796,6,1,0
50000,48993,8,1,0
1000,639,22,1,0
10000,14089,21,1,0
50000,42729,9,1,0
5000,4318,6,1,0
10000,15677,16,1,0
1000,1190,10,1,0
500000,297009,9,1,0
100000,167281,10,1,0
1000,327,1,1,0
500000,537567,17,1,0
1000,313,3,1,0
100000,58088,6,1,0
1000,733,5,1,0
10000,16028,27,1,0
1000,618,28,1,0
10000,15548,28,1,0
10000,7488,24,1,0
50000,24870,4,1,0
1000,604,20,1,0
100000,67021,9,1,0
1000,1061,13,1,0
5000,3285,14,1,0
100000,88093,3,1,0
500000,323757,4,1,0
100000,98786,18,1,0
10000,14700,26,1,0
50000,35679,0,1,0
10000,20010,22,1,0
100000,109275,21,1,0
1000,667,0,1,0
1000,325,4,1,0
1000,576,16,1,0
5000,3743,20,1,0
5000,1966,0,1,0
500000,618735,25,1,0
100000,94592,11,1,0
50000,88206,29,1,0
1000,957,19,1,0
100000,128914,23,1,0
5000,4339,1,1,0
100000,111334,19,1,0
1000,541,9,1,0
500000,582553,20,1,0
5000,6227,22,1,0
50000,38193,7,1,0
10000,9186,15,1,0
100000,148844,15,1,0
50000,101377,28,1,0
500000,735295,10,1,0
10000,15154,25,1,0
5000,4792,15,1,0
10000,9422,10,1,0
500000,310080,0,1,0
10000,8558,2,1,0
5000,3486,19,1,0
500000,322807,1,1,0
50000,48165,24,1,0
10000,9124,1,1,0
100000,59227,2,1,0
50000,130198,20,1,0
10000,16474,18,1,0
1000,606,29,1,0
100000,49976,0,1,0
5000,2019,9,1,0
100000,107336,27,1,0
50000,53098,27,1,0
5000,3358,11,1,0
500000,914434,22,1,0
1000,851,18,1,0
100000,99877,16,1,0
50000,64465,10,1,0
50000,55890,23,1,0
10000,12752,13,1,0
500000,660878,29,1,0
10000,9274,4,1,0
500000,456151,11,1,0
5000,4473,23,1,0
10000,4110,3,1,0
100000,125027,24,1,0
100000,117013,28,1,0
500000,490593,18,1,0
1000,934,23,1,0
100000,135117,20,1,0
50000,104301,14,1,0
1000,1207,15,1,0
1000,558,7,1,0
1000,883,26,1,0
500000,484552,19,1,0
10000,10655,23,1,0
5000,1868,3,1,0
10000,8592,8,1,0
10000,7136,14,1,0
50000,44158,13,1,0
5000,4070,10,1,0
50000,47364,3,1,0
100000,79978,1,1,0
10000,9119,0,1,0
5000,2014,7,1,0
50000,51354,5,1,0
5000,8826,18,1,0
5000,1925,5,1,0
50000,88838,25,1,0
10000,13380,12,1,0
500000,288685,5,1,0
5000,9804,26,1,0
500000,693872,24,1,0
5000,6983,25,1,0
100000,141215,26,1,0
10000,24969,19,1,0
50000,76223,21,1,0
500000,494513,28,1,0
10000,9050,9,1,0
10000,21849,20,1,0
50000,24151,1,1,0
50000,53850,26,1,0
100000,51228,4,1,0
100000,84963,7,1,0
1000,551,6,1,0
500000,762565,16,1,0
100000,163656,29,1,0
500000,305197,8,1,0
5000,8419,24,1,0
50000,111469,18,1,0
500000,545046,12,1,0
5000,1944,2,1,0
500000,295522,6,1,0
1000,640,25,1,0
1000,577,24,1,0
100000,86584,13,1,0
500000,665824,23,1,0
10000,13041,29,1,0
500000,299511,2,1,0
500000,522036,13,1,0
100000,135518,17,1,0
5000,12086,12,1,0
50000,85271,12,1,0
5000,3851,28,1,0
50000,82519,15,1,0
1000,679,27,1,0
100000,51306,5,1,0
5000,6344,16,1,0
5000,8927,21,1,0
500000,606387,21,1,0
100000,192841,14,1,0
1000,496.1,12,8,1
1000,490.7,17,8,1
5000,1724.1,13,8,1
1000,205.9,8,8,1
50000,20222.8,11,8,1
500000,200244,15,8,1
100000,40594.3,8,8,1
50000,16465.5,2,8,1
50000,21753.4,16,8,1
5000,1309.2,27,8,1
100000,37996.9,12,8,1
100000,35448.3,25,8,1
500000,204168,27,8,1
500000,200512,26,8,1
500000,203448,7,8,1
50000,20272,6,8,1
10000,5465.2,17,8,1
50000,16651.6,17,8,1
10000,5471.2,11,8,1
5000,1981.7,17,8,1
500000,202906,14,8,1
5000,1798.7,4,8,1
10000,3659.6,7,8,1
1000,202.9,21,8,1
5000,1233.7,29,8,1
500000,205230,3,8,1
100000,37581.1,22,8,1
50000,16918.6,19,8,1
1000,209.6,2,8,1
50000,18364.6,22,8,1
5000,1999.5,8,8,1
1000,217.2,11,8,1
10000,2664.9,5,8,1
1000,470.7,14,8,1
10000,3327.1,6,8,1
50000,19584.3,8,8,1
1000,294.6,22,8,1
10000,4451.1,21,8,1
50000,22105.7,9,8,1
5000,2122.1,6,8,1
10000,3529.1,16,8,1
1000,207.8,10,8,1
500000,212148,9,8,1
